dog_breed,dog_age,vaccinated,grooming,rabies,fever,lethargy,behavior_change,aggression,excessive_drooling,difficulty_swallowing,seizures,staggering_gait,hind_leg_paralysis,jaw_dropped
Rottweiler,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,3,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Boxer,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,1,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Rottweiler,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,8,no,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,3,no,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,5,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no
Australian Shepherd,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,10,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
German Shepherd,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,15,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no
Doberman Pinscher,13,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no
Mixed Breed,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,8,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,2,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Mixed Breed,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,13,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
German Shepherd,1,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes
Stray,13,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no
Rottweiler,6,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Boxer,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,7,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no
Beagle,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,8,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes
Australian Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,6,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Doberman Pinscher,12,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Labrador Retriever,11,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Chihuahua,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,9,no,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,4,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Beagle,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,9,no,yes,yes,no,no,yes,no,no,no,no,no,no,no
Doberman Pinscher,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,11,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
Mixed Breed,9,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Doberman Pinscher,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,6,no,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,7,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Bulldog,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,2,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Bulldog,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,1,no,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,5,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
Beagle,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,12,no,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Great Dane,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,14,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no
Labrador Retriever,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,6,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no
Stray,2,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no
Shih Tzu,3,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Pomeranian,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,13,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Dachshund,15,no,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,12,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes
Bulldog,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,13,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Beagle,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,8,no,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,1,no,no,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,14,no,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,5,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
Stray,7,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
Dachshund,12,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no
Shih Tzu,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,10,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Golden Retriever,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,3,no,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,2,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Australian Shepherd,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,11,no,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,3,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Boxer,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,14,no,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,15,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
Labrador Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,2,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Great Dane,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Rottweiler,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,4,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no
Chihuahua,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,12,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,2,no,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,3,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
Great Dane,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,15,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,6,yes,no,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,9,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
German Shepherd,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,6,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
Great Dane,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Siberian Husky,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,6,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no
German Shepherd,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,4,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Mixed Breed,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,5,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no
Boxer,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,13,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no
Great Dane,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,13,yes,no,no,no,no,no,no,no,no,no,no,no,no
Stray,1,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Pomeranian,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,2,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no
Australian Shepherd,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,7,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
Dachshund,1,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,9,yes,no,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Boxer,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,3,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Shih Tzu,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,11,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Australian Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,3,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no
Stray,4,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no
Labrador Retriever,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Golden Retriever,9,no,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,2,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
French Bulldog,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,8,yes,no,no,no,no,no,no,no,no,no,no,no,no
Shih Tzu,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,2,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,7,no,yes,no,no,no,no,no,no,no,no,no,no,no
Great Dane,1,yes,no,no,no,no,no,no,no,no,no,no,no,no
Poodle,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,5,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,10,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,15,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Shih Tzu,14,yes,yes,no,no,no,no,no,no,no,no,no,no,no
German Shepherd,12,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,7,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no
Beagle,13,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,10,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,8,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Stray,2,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
Chihuahua,3,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
Boxer,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Chihuahua,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Dachshund,9,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Doberman Pinscher,3,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Beagle,5,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Poodle,9,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no
German Shepherd,7,yes,no,no,no,no,no,no,no,no,no,no,no,no
Bulldog,7,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,2,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
French Bulldog,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,14,yes,no,no,no,no,no,no,no,no,no,no,no,no
Australian Shepherd,10,no,yes,no,no,no,no,no,no,no,no,no,no,no
Mixed Breed,11,yes,no,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,12,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no
Australian Shepherd,15,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Pomeranian,5,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
Pomeranian,3,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Bulldog,5,no,yes,no,no,no,no,no,no,no,no,no,no,no
Dachshund,6,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Bulldog,6,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes
Great Dane,4,yes,no,no,no,no,no,no,no,no,no,no,no,no
Beagle,12,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Shih Tzu,11,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Labrador Retriever,4,yes,yes,no,no,no,no,no,no,no,no,no,no,no
Boxer,3,yes,no,no,no,no,no,no,no,no,no,no,no,no
